poi_id;longitude;latitude;accumulatedStayTime;NumberOfVisits
1;-123.133883477;49.2855503125;3402647.0;54
2;-123.178823991;49.1933513305;971597.0;7
3;-123.096031818;49.0306595455;563141.0;3
I;nan;nan;316994.0;27
4;-122.733877886;49.1218387429;157082.0;8
5;-123.122693333;49.2821509524;27218.0;3
6;-123.134518462;49.29073;23728.0;10
7;-123.133701667;49.2902766667;11157.0;4
8;-123.139523377;49.2860516883;9679.0;7
9;-123.129498571;49.2814690476;4462.0;2
10;-123.129753333;49.2769066667;2900.0;2
11;-123.113623333;49.26446;2371.0;2
12;-123.137904231;49.2893526923;2123.0;2
13;-123.134555;49.2821059524;1868.0;2
